Restrictiveness;NGram;Score
1;1;0,058823529
1;2;0,625
1;3;0,714285714
1;4;1
1;5;0,666666667
1;6;1
1;7;0,833333333
1;8;0,8
1;9;1
2;1;0,4
2;2;1
2;3;1
2;4;0,8
2;5;0,8
2;6;1
2;7;1
2;8;0,8
2;9;1
3;1;0,5
3;2;1
3;3;1
3;4;0,8
3;5;0,8
3;6;1
3;7;1
3;8;0,8
3;9;1
4;1;0,666666667
4;2;1
4;3;1
4;4;0,8
4;5;0,8
4;6;1
4;7;1
4;8;0,8
4;9;0,8
5;1;0,8
5;2;1
5;3;1
5;4;0,8
5;5;0,8
5;6;1
5;7;1
5;8;0,8
5;9;0,8
6;1;0,8
6;2;1
6;3;0,8
6;4;0,8
6;5;0,8
6;6;1
6;7;1
6;8;0,8
6;9;0,8
7;1;0,8
7;2;1
7;3;0,8
7;4;0,8
7;5;0,8
7;6;1
7;7;0,6
7;8;0,8
7;9;0,8
8;1;0,8
8;2;1
8;3;0,8
8;4;0,8
8;5;0,8
8;6;0,8
8;7;0,6
8;8;0,8
8;9;0,8
9;1;0,8
9;2;0,8
9;3;0,8
9;4;0,8
9;5;0,8
9;6;0,6
9;7;0,4
9;8;0,8
9;9;0,8
10;1;0,8
10;2;0,8
10;3;0,6
10;4;0,8
10;5;0,8
10;6;0,6
10;7;0,4
10;8;0,6
10;9;0,6
11;1;0,8
11;2;0,8
11;3;0,6
11;4;0,8
11;5;0,8
11;6;0,6
11;7;0,2
11;8;0,4
11;9;0,6
12;1;0,8
12;2;0,6
12;3;0,6
12;4;0,8
12;5;0,8
12;6;0,6
12;7;0,2
12;8;0,4
12;9;0,6
13;1;0,8
13;2;0,6
13;3;0,6
13;4;0,8
13;5;0,8
13;6;0,6
13;7;0,2
13;8;0,4
13;9;0,6
14;1;0,8
14;2;0,6
14;3;0,6
14;4;0,8
14;5;0,8
14;6;0,6
14;7;0,2
14;8;0,4
14;9;0,6
15;1;0,8
15;2;0,6
15;3;0,6
15;4;0,8
15;5;0,8
15;6;0,6
15;7;0
15;8;0,4
15;9;0,6
16;1;0,8
16;2;0,6
16;3;0,6
16;4;0,8
16;5;0,8
16;6;0,6
16;7;0
16;8;0,4
16;9;0,6
17;1;0,8
17;2;0,6
17;3;0,6
17;4;0,8
17;5;0,8
17;6;0,6
17;7;0
17;8;0,4
17;9;0,6
18;1;0,8
18;2;0,6
18;3;0,6
18;4;0,8
18;5;0,6
18;6;0,6
18;7;0
18;8;0,4
18;9;0,6
19;1;0,8
19;2;0,6
19;3;0,6
19;4;0,8
19;5;0,6
19;6;0,6
19;7;0
19;8;0,4
19;9;0,6
